#NAME#,DISPLAYORDER,TYPECODE,DESCRIPTION,APPRAISALCATEGORY,PRODUCTCATEGORY,SESSIONID,TIMESTAMP,VERSION
SINGLE_FAMILY_1004,'1','116','1004 Uniform Residential Appraisal Report  Full appraisal','Appraisal','Conventional','0',sysdate,'0'
SINGLE_FAMILY_1004C,'2','116-2','1004C Manufactured Home Appraisal Report  Full appraisal','Appraisal','Conventional','0',sysdate,'0'
MULTI_FAMILY_1025,'3','114','1025 Small Residential Income Property Appraisal Report (Multi-family)  Full appraisal','Appraisal','Conventional','0',sysdate,'0'
CONDO_TOWNHOUSE_1073,'4','125-2','1073 Individual Condominium Unit Appraisal Report  Full appraisal','Appraisal','Conventional','0',sysdate,'0'
CO_OP_1075,'5','125-3','1075 Individual Cooperative Interest Appraisal Report  Full appraisal','Appraisal','Conventional','0',sysdate,'0'
FIELD_REVIEW,'6','125-6','2000 Field Review Appraisal','Appraisal','Conventional','0',sysdate,'0'
EXTERIOR_2055,'7','104','2055 Exterior-Only Inspection Residential Appraisal Report  Limited appraisal','Appraisal','Conventional','0',sysdate,'0'
CO_OP_2090,'8','110-2','2090 Individual Cooperative Interest Appraisal Report  Full appraisal','Appraisal','Conventional','0',sysdate,'0'
CO_OP_2095,'9','110','2095 Exterior-Only Inspection Individual Cooperative Interest Appraisal Report  Limited appraisal','Appraisal','Conventional','0',sysdate,'0'
INSPECTION_2075,'10','103','2075 Desktop Underwriter Property Inspection Report  Inspection','Inspection','Conventional','0',sysdate,'0'
SINGLE_FAMILY_1004D,'11','116-3','1004D Appraisal Update and/or Completion Report  Inspection','Inspection','Conventional','0',sysdate,'0'
OPERATING_INCOME_216,'12','125-4','216 Operating Income Statement','Appraisal','Conventional','0',sysdate,'0'
RENT_SCHEDULE_1007,'13','125-1','1007 Rent Schedule','Appraisal','Conventional','0',sysdate,'0'
FHA_SINGLE_FAMILY_1004,'14','FHA_116','1004 Uniform Residential Appraisal Report  Full appraisal','Appraisal','FHA','0',sysdate,'0'
FHA_SINGLE_FAMILY_1004C,'15','FHA_116-2','1004C Manufactured Home Appraisal Report  Full appraisal','Appraisal','FHA','0',sysdate,'0'
FHA_MULTI_FAMILY_1025,'16','FHA_114','1025 Small Residential Income Property Appraisal Report (Multi-family)  Full appraisal','Appraisal','FHA','0',sysdate,'0'
FHA_CONDO_TOWNHOUSE_1073,'17','FHA_125-2','1073 Individual Condominium Unit Appraisal Report  Full appraisal','Appraisal','FHA','0',sysdate,'0'
FHA_CO_OP_1075,'18','FHA_125-3','1075 Individual Cooperative Interest Appraisal Report  Full appraisal','Appraisal','FHA','0',sysdate,'0'
FHA_CO_OP_2090,'19','FHA_110-2','2090 Individual Cooperative Interest Appraisal Report  Full appraisal','Appraisal','FHA','0',sysdate,'0'
FHA_CO_OP_2095,'20','FHA_110','2095 Exterior-Only Inspection Individual Cooperative Interest Appraisal Report  Limited appraisal','Appraisal','FHA','0',sysdate,'0'
FHA_INSPECTION_2075,'21','FHA_103','2075 Desktop Underwriter Property Inspection Report  Inspection','Inspection','FHA','0',sysdate,'0'
FHA_SINGLE_FAMILY_1004D,'22','FHA_116-3','1004D Appraisal Update and/or Completion Report  Inspection','Appraisal','FHA','0',sysdate,'0'
FHA_COMPLIANCE_HUD_92051,'23','FHA_92051','HUD-92051 Compliance Inspection Report  Inspection','Appraisal','FHA','0',sysdate,'0'
FHA_OPERATING_INCOME_216,'24','FHA_125-4','216 Operating Income Statement','Appraisal','FHA','0',sysdate,'0'
FHA_RENT_SCHEDULE_1007,'25','FHA_125-1','1007 Rent Schedule','Appraisal','FHA','0',sysdate,'0'
INTERIOR_EXTERIOR_2055,'-1','105','2055-Interior/Exterior','Appraisal','Conventional','0',sysdate,'0'
FINAL_INSPECTION_442,'-1','125-5','442/Final Inspection','Inspection','Conventional','0',sysdate,'0'
RECERTIFICATION,'-1','120','Re-Certification','Appraisal','Conventional','0',sysdate,'0'
AVM,'-1','125-7','Automated Valuation','Appraisal','Conventional','0',sysdate,'0'
DU_QUAL_2065,'-1','125-8','2065-Interior/Exterior','Appraisal','Conventional','0',sysdate,'0'
EXTERIOR_INSPECTION_2070,'-1','125-9','2070/Property Inspection Exterior','Inspection','Conventional','0',sysdate,'0'
INTERIOR_INSPECTION_2070,'-1','125-10','2070/Property Inspection Interior','Inspection','Conventional','0',sysdate,'0'
DRIVE_BY_704,'-1','125-11','704/Drive By','Inspection','Conventional','0',sysdate,'0'
INTERIOR_704,'-1','125-12','704/Interior Inspection','Inspection','Conventional','0',sysdate,'0'
OTHER,'-1','125-13','Other','Appraisal','Conventional','0',sysdate,'0'
FHA_EXTERIOR_2055,'-1','FHA_104','2055 Exterior-Only Inspection Residential Appraisal Report  Limited appraisal','Appraisal','FHA','0',sysdate,'0'
FHA_INTERIOR_EXTERIOR_2055,'-1','FHA_105','2065 Desktop Underwriter Quantitative Analysis Appraisal Report (Interior -Exterior)  Limited appraisal','Appraisal','FHA','0',sysdate,'0'
FHA_EXTERIOR_INSPECTION_2070,'-1','FHA_125-9','2070 Property Inspection Exterior  Inspection','Inspection','FHA','0',sysdate,'0'
FHA_INTERIOR_INSPECTION_2070,'-1','FHA_125-10','2070 Property Inspection Interior  Inspection','Inspection','FHA','0',sysdate,'0'
FHA_FINAL_INSPECTION_442,'-1','FHA_125-5','442 Final Inspection  Inspection','Inspection','FHA','0',sysdate,'0'
FHA_DRIVE_BY_704,'-1','FHA_125-11','FHA_704 Drive By  Inspection','Inspection','FHA','0',sysdate,'0'
