TYPECODE,DESCRIPTION,SPONSOR,SESSIONID,TIMESTAMP,VERSION
'1','CREDCO','None','0',sysdate,'0'
'10','CB Columbus GA','Equifax','0',sysdate,'0'
'11','CB San Joaquin Co','Equifax','0',sysdate,'0'
'12','CB Systems Columbia','Equifax','0',sysdate,'0'
'13','Hankins Mortgage Svc','Equifax','0',sysdate,'0'
'14','Mphs Consumer Cred','Equifax','0',sysdate,'0'
'15','RMA of Tidewater VA','Equifax','0',sysdate,'0'
'16','American Reporting','Informative Research','0',sysdate,'0'
'17','Credit Plus Inc.','CBC','0',sysdate,'0'
'18','INFO1','Informative Research','0',sysdate,'0'
'19','Executive Reporting','CREDCO','0',sysdate,'0'
'2','Informative Research','None','0',sysdate,'0'
'20','The Credit Network','CREDCO','0',sysdate,'0'
'200','FNMATest','FNMA','0',sysdate,'0'
'21','CTCS','Transunion','0',sysdate,'0'
'22','CIS Info Services','CREDCO','0',sysdate,'0'
'23','Information Network','CREDCO','0',sysdate,'0'
'24','CSG Credit Services','CREDCO','0',sysdate,'0'
'25','PRB Inc.','CREDCO','0',sysdate,'0'
'26','Systems 1','Informative Research','0',sysdate,'0'
'27','Credit Infonet','Informative Research','0',sysdate,'0'
'3','CBC','None','0',sysdate,'0'
'38','CBSI/Credit Bur. Svc','CBC','0',sysdate,'0'
'39','Nationwide Credit','CBC','0',sysdate,'0'
'4','Equifax','None','0',sysdate,'0'
'5','Trans Union','None','0',sysdate,'0'
'6','PAC','Informative Research','0',sysdate,'0'
'7','CSC Mortgage Svcs','Equifax','0',sysdate,'0'
'8','CBMS','Equifax','0',sysdate,'0'
'9','CBBR','Equifax','0',sysdate,'0'

