TYPECODE,DESCRIPTION,SESSIONID,TIMESTAMP,VERSION
'All','All','0',sysdate,'0'
'AssignmentOfMortgage','Assignment Of Mortgage','0',sysdate,'0'
'DeedOfTrust','Deed Of Trust','0',sysdate,'0'
'Mortgage','Mortgage','0',sysdate,'0'
'Other','Other','0',sysdate,'0'
'QuitClaimDeed','Quit Claim Deed','0',sysdate,'0'
'ReleaseOfLien','Release Of Lien','0',sysdate,'0'
'SecurityInstrument','Security Instrument','0',sysdate,'0'
'SignatureAffidavit','Signature Affidavit','0',sysdate,'0'
'WarrantyDeed','Warranty Deed','0',sysdate,'0'
'Deed','Deed','0',sysdate,'0'
'Easement','Easement','0',sysdate,'0'
'TaxDeed','Tax Deed','0',sysdate,'0'
'Modification','Modification','0',sysdate,'0'
'Lease','Lease','0',sysdate,'0'
'TrusteeDeed','Trustee Deed','0',sysdate,'0'
'AssignmentOfDeedOfTrust','Assignment Of Deed Of Trust','0',sysdate,'0'
