#NAME#,DISPLAYORDER,TYPECODE,DESCRIPTION,SESSIONID,TIMESTAMP,VERSION
'ASSESSMENT','1','Assessment','Assessment','0',sysdate,'0'
'ASSESSMENTTAX','2','AssessmentTax','Assessment Tax','0',sysdate,'0'
'CITYPROPERTYTAX','3','CityPropertyTax','City Property Tax','0',sysdate,'0'
'COUNTYPROPERTYTAX','4','CountyPropertyTax','County Property Tax','0',sysdate,'0'
'EARTHQUAKEINSURANCE','5','EarthquakeInsurance','Earthquake Insurance','0',sysdate,'0'
'FLOODINSURANCE','6','FloodInsurance','Flood Insurance','0',sysdate,'0'
'FRONTAGETAX','7','FrontageTax','Frontage Tax','0',sysdate,'0'
'GROUNDRENTTAX','8','GroundRentTax','Ground Rent Tax','0',sysdate,'0'
'HAZARDINSURANCE','9','HazardInsurance','Hazard Insurance','0',sysdate,'0'
'MUDTAX','10','MUDTax','MUD Tax','0',sysdate,'0'
'MUNICIPALTAX','11','MunicipalTax','Municipal Tax','0',sysdate,'0'
'PUDTAX','12','PUDTax','PUD Tax','0',sysdate,'0'
'SCHOOLPROPERTYTAX','13','SchoolPropertyTax','School Property Tax','0',sysdate,'0'
'SPECIALFIRETAX','14','SpecialFireTax','Special Fire Tax','0',sysdate,'0'
'SPECIALRAODTAX','15','SpecialRoadTax','Special Road Tax','0',sysdate,'0'
'STATETAX','16','StateTax','State Tax','0',sysdate,'0'
'TOWNPROPERTYTAX','17','TownPropertyTax','Township Property Tax','0',sysdate,'0'
'VILLAGEPROPERTYTAX','18','VillagePropertyTax','Village Property Tax','0',sysdate,'0'
'WINDSTORMINSURANCE','19','WindstormInsurance','Windstorm Insurance','0',sysdate,'0'
'WATERTAX','20','WaterTax','Water Tax','0',sysdate,'0'
'OTHER','21','Other','Other','0',sysdate,'0'
'OTHERTAX','22','OtherTax','Other Tax','0',sysdate,'0'
'MORTGAGEINSURANCE','23','MI','MI','0',sysdate,'0'
