TYPECODE,DESCRIPTION,DISPLAYORDER,DEFAULTDISPLAY,SESSIONID,TIMESTAMP,VERSION,PROPERTYPATH,PROPERTYTYPE
'1','Program','-1','1','0',sysdate,'0','loanproduct/programDesc',''
'2','Purpose', '2','1','0',sysdate,'0','loanproduct/loanPurposeType','LoanPurposeType'
'3','Term','3','1','0',sysdate,'0','loanproduct/loanTerm',''
'4','Rate (%)','4','1','0',sysdate,'0','loanproduct/rate','PERCENT'
'5','Points(%)','5','1','0',sysdate,'0','loanproduct/points','PERCENT'
'6','Margin','6','1','0',sysdate,'0','loanproduct/indexMargin',''
'7','Life Cap','7','1','0',sysdate,'0','loanproduct/lifeTimeCap',''
'8','Payment','8','1','0',sysdate,'0','loanproduct/payment','MONEY'
'9','Loan Amount','9','1','0',sysdate,'0','loanproduct/LoanProductAttributeValue/LoanAmount','MONEY'
'10','Purchase Price','10','1','0',sysdate,'0','loanproduct/LoanProductAttributeValue/PurchasePriceAmount','MONEY'
'11','Appraised Value','11','1','0',sysdate,'0','loanproduct/LoanProductAttributeValue/PropertyAppraisedValueAmount','MONEY'
'12','Credit Score','12','1','0',sysdate,'0','loanproduct/LoanProductAttributeValue/BorrowerCreditScore',''
'13','LTV','13','0','0',sysdate,'0','loanproduct/ltv','PERCENT'
'14','CLTV','14','0','0',sysdate,'0','loanproduct/cltv','PERCENT'
'15','Lock Period','15','1','0',sysdate,'0','loanproduct/lockPeriodDays',''
'16','Lien Position','16','0','0',sysdate,'0','loanproduct/lienType','LienType'
'17','Interest Only','17','0','0',sysdate,'0','loanrpoduct/interestOnlyFlag',''
'18','Subordinate Financing','18','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/SubordinateLienAmount','MONEY'
'19','Payment Penalty','19','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/PrepaymentPenaltyIndicator',''
'20','Impounds','20','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/ImpoundsAcceptableIndicator',''
'21','Mortgage Insurance','21','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/MortgageInsuranceAcceptableIndicator',''
'22','Escrow Waiver','22','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/EscrowWaiverIndicator',''
'23','Balloon','23','0','0',sysdate,'0','loanproduct/balloonIndicator',''
'24','Affordable Mortgage Unit','24','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/FREAffordableProgramIdentifier',''
'25','Buydown Option','25','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/BuyDownOptionType','BuyDownOptionType'
'26','Cashout Amount','26','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/FRECashOutAmount','MONEY'
'27','Closing Cost','27','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/EstimatedClosingCostsAmount','MONEY'
'28','Occupancy Type','28','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/PropertyUsageType','ResidenceType'
'29','Estimated Value','29','0','0',sysdate,'0','loanproduct/LoanProductAttributeValue/PropertyEstimatedValueAmount','MONEY'
