TYPECODE,DISPLAYORDER,DESCRIPTION,SESSIONID,TIMESTAMP,VERSION
'702','1','702','0',sysdate,'0'
'703','2','703','0',sysdate,'0'
'707','3','707','0',sysdate,'0'
'719','4','719','0',sysdate,'0'
'720','5','720','0',sysdate,'0'
'721','6','721','0',sysdate,'0'
'729','7','729','0',sysdate,'0'
'730','8','730','0',sysdate,'0'
'731','9','731','0',sysdate,'0'
'734','10','734','0',sysdate,'0'
'741','11','741','0',sysdate,'0'
'742','12','742','0',sysdate,'0'
'746','13','746','0',sysdate,'0'
'753','14','753','0',sysdate,'0'
'754','15','754','0',sysdate,'0'
'755','16','755','0',sysdate,'0'
'756','17','756','0',sysdate,'0'
'759','18','759','0',sysdate,'0'
'761','19','761','0',sysdate,'0'
'762','20','762','0',sysdate,'0'
'763','21','763','0',sysdate,'0'
'765','22','765','0',sysdate,'0'
'766','23','766','0',sysdate,'0'
'770','24','770','0',sysdate,'0'
'771','25','771','0',sysdate,'0'
'774','26','774','0',sysdate,'0'
'776','27','776','0',sysdate,'0'
'777','28','777','0',sysdate,'0'
'780','29','780','0',sysdate,'0'
'783','30','783','0',sysdate,'0'
'782','31','782','0',sysdate,'0'
'787','32','787','0',sysdate,'0'
'788','33','788','0',sysdate,'0'
'792','34','792','0',sysdate,'0'
'793','35','793','0',sysdate,'0'
'801','36','801','0',sysdate,'0'
'802','37','802','0',sysdate,'0'
'804','38','804','0',sysdate,'0'
'805','39','805','0',sysdate,'0'
'807','40','807','0',sysdate,'0'
'808','41','808','0',sysdate,'0'
'811','42','811','0',sysdate,'0'
'812','43','812','0',sysdate,'0'
'813','44','813','0',sysdate,'0'
'815','45','815','0',sysdate,'0'
'829','46','829','0',sysdate,'0'
'951','47','951','0',sysdate,'0'
'952','48','952','0',sysdate,'0'
'953','49','953','0',sysdate,'0'
'954','50','954','0',sysdate,'0'
'955','51','955','0',sysdate,'0'
'956','52','956','0',sysdate,'0'
'957','53','957','0',sysdate,'0'
'958','54','958','0',sysdate,'0'
'502','55','502','0',sysdate,'0'
'503','56','503','0',sysdate,'0'
'507','57','507','0',sysdate,'0'
'513','58','513','0',sysdate,'0'
'519','59','519','0',sysdate,'0'
'520','60','520','0',sysdate,'0'
'529','61','529','0',sysdate,'0'
'530','62','530','0',sysdate,'0'
'531','63','531','0',sysdate,'0'
'534','64','534','0',sysdate,'0'
'541','65','541','0',sysdate,'0'
'542','66','542','0',sysdate,'0'
'547','67','547','0',sysdate,'0'
'550','68','550','0',sysdate,'0'
'553','69','553','0',sysdate,'0'
'554','70','554','0',sysdate,'0'
'560','71','560','0',sysdate,'0'
'561','72','561','0',sysdate,'0'
'562','73','562','0',sysdate,'0'
'563','74','563','0',sysdate,'0'
'568','75','568','0',sysdate,'0'
'569','76','569','0',sysdate,'0'
'570','77','570','0',sysdate,'0'
'571','78','571','0',sysdate,'0'
'574','79','574','0',sysdate,'0'
'576','80','576','0',sysdate,'0'
'577','81','577','0',sysdate,'0'
'582','82','582','0',sysdate,'0'
'583','83','583','0',sysdate,'0'
'587','84','587','0',sysdate,'0'
'588','85','588','0',sysdate,'0'
'591','86','591','0',sysdate,'0'
'302','87','302','0',sysdate,'0'
'303','88','303','0',sysdate,'0'
'307','89','307','0',sysdate,'0'
'313','90','313','0',sysdate,'0'
'320','91','320','0',sysdate,'0'
'334','92','334','0',sysdate,'0'
'341','93','341','0',sysdate,'0'
'342','94','342','0',sysdate,'0'
'353','95','353','0',sysdate,'0'
'360','96','360','0',sysdate,'0'
'374','97','374','0',sysdate,'0'
'392','98','392','0',sysdate,'0'
'146','99','146','0',sysdate,'0'
'155','100','155','0',sysdate,'0'
'156','101','156','0',sysdate,'0'
'165','102','165','0',sysdate,'0'
'166','103','166','0',sysdate,'0'
'202','104','202','0',sysdate,'0'
'203','105','203','0',sysdate,'0'
'207','106','207','0',sysdate,'0'
'213','107','213','0',sysdate,'0'
'219','108','219','0',sysdate,'0'
'220','109','220','0',sysdate,'0'
'229','110','229','0',sysdate,'0'
'230','111','230','0',sysdate,'0'
'231','112','231','0',sysdate,'0'
'234','113','234','0',sysdate,'0'
'241','114','241','0',sysdate,'0'
'242','115','242','0',sysdate,'0'
'247','116','247','0',sysdate,'0'
'250','117','250','0',sysdate,'0'
'253','118','253','0',sysdate,'0'
'254','119','254','0',sysdate,'0'
'259','120','259','0',sysdate,'0'
'260','121','260','0',sysdate,'0'
'261','122','261','0',sysdate,'0'
'262','123','262','0',sysdate,'0'
'263','124','263','0',sysdate,'0'
'268','125','268','0',sysdate,'0'
'269','126','269','0',sysdate,'0'
'270','127','270','0',sysdate,'0'
'271','128','271','0',sysdate,'0'
'274','129','274','0',sysdate,'0'
'276','130','276','0',sysdate,'0'
'277','131','277','0',sysdate,'0'
'280','132','280','0',sysdate,'0'
'282','133','282','0',sysdate,'0'
'283','134','283','0',sysdate,'0'
'287','135','287','0',sysdate,'0'
'288','136','288','0',sysdate,'0'
'291','137','291','0',sysdate,'0'
'293','138','293','0',sysdate,'0'
'401','139','401','0',sysdate,'0'
'404','140','404','0',sysdate,'0'
'405','141','405','0',sysdate,'0'
'408','142','408','0',sysdate,'0'
'411','143','411','0',sysdate,'0'
'412','144','412','0',sysdate,'0'
'413','145','413','0',sysdate,'0'
'415','146','415','0',sysdate,'0'
'911','147','911','0',sysdate,'0'
'912','148','912','0',sysdate,'0'
'913','149','913','0',sysdate,'0'
'914','150','914','0',sysdate,'0'
'915','151','915','0',sysdate,'0'
'916','152','916','0',sysdate,'0'
'917','153','917','0',sysdate,'0'
'918','154','918','0',sysdate,'0'
