ID,VERSION,STARTCLOSEDATERANGE,ENDCLOSEDATERANGE,MONTHSINSURED,REFUNDFACTOR,SESSIONID,TIMESTAMP
'1','0','01-JUL-91','31-DEC-00','1',0.9917,'0',sysdate
'2','0','01-JUL-91','31-DEC-00','2',0.9833,'0',sysdate
'3','0','01-JUL-91','31-DEC-00','3',0.975,'0',sysdate
'4','0','01-JUL-91','31-DEC-00','4',0.9667,'0',sysdate
'5','0','01-JUL-91','31-DEC-00','5',0.9583,'0',sysdate
'6','0','01-JUL-91','31-DEC-00','6',0.95,'0',sysdate
'7','0','01-JUL-91','31-DEC-00','7',0.9417,'0',sysdate
'8','0','01-JUL-91','31-DEC-00','8',0.9333,'0',sysdate
'9','0','01-JUL-91','31-DEC-00','9',0.925,'0',sysdate
'10','0','01-JUL-91','31-DEC-00','10',0.9167,'0',sysdate
'11','0','01-JUL-91','31-DEC-00','11',0.9083,'0',sysdate
'12','0','01-JUL-91','31-DEC-00','12',0.9,'0',sysdate
'13','0','01-JUL-91','31-DEC-00','13',0.8917,'0',sysdate
'14','0','01-JUL-91','31-DEC-00','14',0.8833,'0',sysdate
'15','0','01-JUL-91','31-DEC-00','15',0.875,'0',sysdate
'16','0','01-JUL-91','31-DEC-00','16',0.8667,'0',sysdate
'17','0','01-JUL-91','31-DEC-00','17',0.8583,'0',sysdate
'18','0','01-JUL-91','31-DEC-00','18',0.85,'0',sysdate
'19','0','01-JUL-91','31-DEC-00','19',0.8417,'0',sysdate
'20','0','01-JUL-91','31-DEC-00','20',0.8333,'0',sysdate
'21','0','01-JUL-91','31-DEC-00','21',0.825,'0',sysdate
'22','0','01-JUL-91','31-DEC-00','22',0.8167,'0',sysdate
'23','0','01-JUL-91','31-DEC-00','23',0.8083,'0',sysdate
'24','0','01-JUL-91','31-DEC-00','24',0.8,'0',sysdate
'25','0','01-JUL-91','31-DEC-00','25',0.7835,'0',sysdate
'26','0','01-JUL-91','31-DEC-00','26',0.767,'0',sysdate
'27','0','01-JUL-91','31-DEC-00','27',0.7505,'0',sysdate
'28','0','01-JUL-91','31-DEC-00','28',0.734,'0',sysdate
'29','0','01-JUL-91','31-DEC-00','29',0.7175,'0',sysdate
'30','0','01-JUL-91','31-DEC-00','30',0.701,'0',sysdate
'31','0','01-JUL-91','31-DEC-00','31',0.6845,'0',sysdate
'32','0','01-JUL-91','31-DEC-00','32',0.668,'0',sysdate
'33','0','01-JUL-91','31-DEC-00','33',0.6515,'0',sysdate
'34','0','01-JUL-91','31-DEC-00','34',0.635,'0',sysdate
'35','0','01-JUL-91','31-DEC-00','35',0.6185,'0',sysdate
'36','0','01-JUL-91','31-DEC-00','36',0.602,'0',sysdate
'37','0','01-JUL-91','31-DEC-00','37',0.584,'0',sysdate
'38','0','01-JUL-91','31-DEC-00','38',0.566,'0',sysdate
'39','0','01-JUL-91','31-DEC-00','39',0.548,'0',sysdate
'40','0','01-JUL-91','31-DEC-00','40',0.53,'0',sysdate
'41','0','01-JUL-91','31-DEC-00','41',0.512,'0',sysdate
'42','0','01-JUL-91','31-DEC-00','42',0.494,'0',sysdate
'43','0','01-JUL-91','31-DEC-00','43',0.476,'0',sysdate
'44','0','01-JUL-91','31-DEC-00','44',0.458,'0',sysdate
'45','0','01-JUL-91','31-DEC-00','45',0.44,'0',sysdate
'46','0','01-JUL-91','31-DEC-00','46',0.422,'0',sysdate
'47','0','01-JUL-91','31-DEC-00','47',0.404,'0',sysdate
'48','0','01-JUL-91','31-DEC-00','48',0.386,'0',sysdate
'49','0','01-JUL-91','31-DEC-00','49',0.372,'0',sysdate
'50','0','01-JUL-91','31-DEC-00','50',0.358,'0',sysdate
'51','0','01-JUL-91','31-DEC-00','51',0.344,'0',sysdate
'52','0','01-JUL-91','31-DEC-00','52',0.33,'0',sysdate
'53','0','01-JUL-91','31-DEC-00','53',0.316,'0',sysdate
'54','0','01-JUL-91','31-DEC-00','54',0.302,'0',sysdate
'55','0','01-JUL-91','31-DEC-00','55',0.288,'0',sysdate
'56','0','01-JUL-91','31-DEC-00','56',0.274,'0',sysdate
'57','0','01-JUL-91','31-DEC-00','57',0.26,'0',sysdate
'58','0','01-JUL-91','31-DEC-00','58',0.246,'0',sysdate
'59','0','01-JUL-91','31-DEC-00','59',0.232,'0',sysdate
'60','0','01-JUL-91','31-DEC-00','60',0.218,'0',sysdate
'61','0','01-JUL-91','31-DEC-00','61',0.2068,'0',sysdate
'62','0','01-JUL-91','31-DEC-00','62',0.1957,'0',sysdate
'63','0','01-JUL-91','31-DEC-00','63',0.1845,'0',sysdate
'64','0','01-JUL-91','31-DEC-00','64',0.1733,'0',sysdate
'65','0','01-JUL-91','31-DEC-00','65',0.1622,'0',sysdate
'66','0','01-JUL-91','31-DEC-00','66',0.151,'0',sysdate
'67','0','01-JUL-91','31-DEC-00','67',0.1398,'0',sysdate
'68','0','01-JUL-91','31-DEC-00','68',0.1287,'0',sysdate
'69','0','01-JUL-91','31-DEC-00','69',0.1175,'0',sysdate
'70','0','01-JUL-91','31-DEC-00','70',0.1063,'0',sysdate
'71','0','01-JUL-91','31-DEC-00','71',0.0952,'0',sysdate
'72','0','01-JUL-91','31-DEC-00','72',0.084,'0',sysdate
'73','0','01-JUL-91','31-DEC-00','73',0.077,'0',sysdate
'74','0','01-JUL-91','31-DEC-00','74',0.07,'0',sysdate
'75','0','01-JUL-91','31-DEC-00','75',0.063,'0',sysdate
'76','0','01-JUL-91','31-DEC-00','76',0.056,'0',sysdate
'77','0','01-JUL-91','31-DEC-00','77',0.049,'0',sysdate
'78','0','01-JUL-91','31-DEC-00','78',0.042,'0',sysdate
'79','0','01-JUL-91','31-DEC-00','79',0.035,'0',sysdate
'80','0','01-JUL-91','31-DEC-00','80',0.028,'0',sysdate
'81','0','01-JUL-91','31-DEC-00','81',0.021,'0',sysdate
'82','0','01-JUL-91','31-DEC-00','82',0.014,'0',sysdate
'83','0','01-JUL-91','31-DEC-00','83',0.007,'0',sysdate
'84','0','01-JAN-01','08-DEC-04','1',0.975,'0',sysdate
'85','0','01-JAN-01','08-DEC-04','2',0.95,'0',sysdate
'86','0','01-JAN-01','08-DEC-04','3',0.925,'0',sysdate
'87','0','01-JAN-01','08-DEC-04','4',0.9,'0',sysdate
'88','0','01-JAN-01','08-DEC-04','5',0.875,'0',sysdate
'89','0','01-JAN-01','08-DEC-04','6',0.85,'0',sysdate
'90','0','01-JAN-01','08-DEC-04','7',0.8333,'0',sysdate
'91','0','01-JAN-01','08-DEC-04','8',0.8167,'0',sysdate
'92','0','01-JAN-01','08-DEC-04','9',0.8,'0',sysdate
'93','0','01-JAN-01','08-DEC-04','10',0.7833,'0',sysdate
'94','0','01-JAN-01','08-DEC-04','11',0.7667,'0',sysdate
'95','0','01-JAN-01','08-DEC-04','12',0.75,'0',sysdate
'96','0','01-JAN-01','08-DEC-04','13',0.7333,'0',sysdate
